2024-12-07 13:22:48.60 | vgervais | APP_v5.G.0.xlsb | modImport:TEC_Import_All
2024-12-07 13:22:49.02 | vgervais | APP_v5.G.0.xlsb | modImport:TEC_Import_All = 0,4258 sec.

2024-12-07 13:22:49.05 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Activate = 0,7617 sec.

2024-12-07 13:22:50.86 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-07 13:22:50.91 | vgervais | APP_v5.G.0.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0469 sec.

2024-12-07 13:22:54.72 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-07 13:22:54.75 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-07 13:22:55.01 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2578 sec.

2024-12-07 13:22:55.04 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-07 13:22:55.22 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1836 sec.

2024-12-07 13:22:55.25 | vgervais | APP_v5.G.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5312 sec.

2024-12-07 13:22:55.28 | vgervais | APP_v5.G.0.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-07 13:22:55.46 | vgervais | APP_v5.G.0.xlsb | modStatsHeures:Stats_Heures_AF = 0,1836 sec.

2024-12-07 13:22:55.49 | vgervais | APP_v5.G.0.xlsb | modAppli:UpdatePivotTables
2024-12-07 13:22:55.55 | vgervais | APP_v5.G.0.xlsb | modAppli:UpdatePivotTables = 0,0547 sec.

2024-12-07 13:23:13.27 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-07 13:23:13.32 | vgervais | APP_v5.G.0.xlsb | ufSaisieHeures:UserForm_Terminate = 0,0508 sec.

2024-12-07 13:52:44.84 | Guillaume | APP_v5.G.3.xlsb | ***** Début d'une nouvelle session (ThisWorkbook:Workbook_Open) *****
2024-12-07 13:52:45.12 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Create_User_Active_File
2024-12-07 13:52:45.63 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Create_User_Active_File = 0,6680 sec.

2024-12-07 13:52:48.20 | Guillaume | APP_v5.G.3.xlsb | modAppli:Write_Info_On_Main_Menu
2024-12-07 13:52:48.66 | Guillaume | APP_v5.G.3.xlsb | modAppli:Write_Info_On_Main_Menu = 0,6172 sec.

2024-12-07 13:52:48.98 | Guillaume | APP_v5.G.3.xlsb | ThisWorkbook:Workbook_Open = 4,2773 sec.

2024-12-07 13:52:53.48 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-07 13:52:53.70 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All
2024-12-07 13:52:54.98 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All = 1,4609 sec.

2024-12-07 13:52:55.25 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All
2024-12-07 13:52:57.14 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All = 2,0312 sec.

2024-12-07 13:52:57.40 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate = 4,0586 sec.

2024-12-07 13:53:01.34 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-07 13:53:01.56 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,3633 sec.

2024-12-07 13:53:03.04 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-07 13:53:03.26 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(07/12/24, 90, 15)
2024-12-07 13:53:03.48 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,3789 sec.

2024-12-07 13:53:03.72 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,8281 sec.

2024-12-07 13:53:03.95 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-07 13:53:04.18 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/07/12/24
2024-12-07 13:53:04.66 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,6211 sec.

2024-12-07 13:53:04.89 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/24
2024-12-07 13:53:05.13 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-07 13:53:05.36 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3750 sec.

2024-12-07 13:53:05.68 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/24 = 0,9375 sec.

2024-12-07 13:53:05.91 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 2,1055 sec.

2024-12-07 13:53:10.62 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]]
2024-12-07 13:53:10.85 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - Les entreprises Lanthier et Papineau Inc. [Alain Lanthier]
2024-12-07 13:53:11.09 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1675 = 0,3906 sec.

2024-12-07 13:53:11.32 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,8555 sec.

2024-12-07 13:53:30.38 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[tel avec Vlad sur révision légale]
2024-12-07 13:53:30.63 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtActivite_AfterUpdate = 0,3906 sec.

2024-12-07 13:53:33.15 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[0.5]
2024-12-07 13:53:33.41 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_AfterUpdate = 0,4023 sec.

2024-12-07 13:53:33.65 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit[0,50]
2024-12-07 13:53:33.88 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtHeures_Exit = 0,3711 sec.

2024-12-07 13:53:35.98 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdAdd_Click
2024-12-07 13:53:36.20 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2024-12-07 13:53:36.45 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2024-12-07 13:53:38.68 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 = 2,3750 sec.

2024-12-07 13:53:38.91 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2024-12-07 13:53:39.40 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 = 0,6289 sec.

2024-12-07 13:53:39.63 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/2024-12-07
2024-12-07 13:53:40.10 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,6172 sec.

2024-12-07 13:53:40.32 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-07
2024-12-07 13:53:40.57 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-07 13:53:40.81 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3906 sec.

2024-12-07 13:53:41.14 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-07 = 0,9922 sec.

2024-12-07 13:53:41.43 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = 5,4102 sec.

2024-12-07 13:53:41.70 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmdAdd_Click = 5,8750 sec.

2024-12-07 13:53:45.03 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-07 13:53:45.28 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Terminate = 0,3906 sec.

2024-12-07 13:57:17.21 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-07 13:57:17.48 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All
2024-12-07 13:57:18.81 | Guillaume | APP_v5.G.3.xlsb | modImport:Client_List_Import_All = 1,4805 sec.

2024-12-07 13:57:19.05 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All
2024-12-07 13:57:20.88 | Guillaume | APP_v5.G.3.xlsb | modImport:TEC_Import_All = 1,9727 sec.

2024-12-07 13:57:21.11 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:UserForm_Activate = 4,0273 sec.

2024-12-07 13:57:22.39 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate
2024-12-07 13:57:22.63 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:cmbProfessionnel_AfterUpdate = 0,3867 sec.

2024-12-07 13:57:23.23 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-07 13:57:23.46 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(07/12/24, 90, 15)
2024-12-07 13:57:23.68 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date = 0,3594 sec.

2024-12-07 13:57:23.91 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate = 0,8125 sec.

2024-12-07 13:57:24.14 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate
2024-12-07 13:57:24.35 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 1/07/12/24
2024-12-07 13:57:24.80 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,5938 sec.

2024-12-07 13:57:25.02 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/07/12/24
2024-12-07 13:57:25.25 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$6)
2024-12-07 13:57:25.48 | Guillaume | APP_v5.G.3.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,3633 sec.

2024-12-07 13:57:25.79 | Guillaume | APP_v5.G.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/bé = 0,9023 sec.

2024-12-07 13:57:26.01 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_AfterUpdate = 2,0117 sec.

2024-12-07 13:57:29.99 | Guillaume | APP_v5.G.3.xlsb | ufSaisieHeures:txtDate_BeforeUpdate
2024-12-07 13:57:30.23 | Guillaume | APP_v5.G.3.xlsb | modFunctions:Fn_Complete_Date(, 90, 15)
