2025-01-17 05:40:17.75 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-01-17 05:40:17.77 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-17 05:40:17.91 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1426 secondes'

2025-01-17 05:40:17.93 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-17 05:40:18.09 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1641 secondes'

2025-01-17 05:40:18.11 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3691 secondes'

2025-01-17 05:40:18.13 | GuillaumeCharron | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF
2025-01-17 05:40:18.54 | GuillaumeCharron | APP_v5.M.3.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,4082 secondes'

2025-01-17 05:40:18.56 | GuillaumeCharron | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables
2025-01-17 05:40:18.68 | GuillaumeCharron | APP_v5.M.3.xlsb | modAppli:UpdatePivotTables *** = '0,1270 secondes'

2025-01-17 05:40:18.71 | GuillaumeCharron | APP_v5.M.3.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,9844 secondes'

2025-01-17 05:40:18.76 | GuillaumeCharron | APP_v5.M.3.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-17 *** = '1,0684 secondes'

2025-01-17 05:40:18.78 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:cmdAdd_Click *** = '2,1816 secondes'

2025-01-17 05:40:32.19 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-17 05:40:32.23 | GuillaumeCharron | APP_v5.M.3.xlsb | ufSaisieHeures:UserForm_Terminate *** = '0,0469 secondes'

2025-01-17 05:40:33.27 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-17 05:40:33.31 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu *** = '0,0410 secondes'

2025-01-17 05:40:34.22 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:SauvegarderEtSortirApplication
2025-01-17 05:40:35.21 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:Delete_User_Active_File
2025-01-17 05:40:35.25 | GuillaumeCharron | APP_v5.M.3.xlsb | modMenu:Delete_User_Active_File *** = '0,0410 secondes'

2025-01-17 05:40:35.27 | GuillaumeCharron | APP_v5.M.3.xlsb | ***** Session terminée NORMALEMENT (modMenu:SauvegarderEtSortirApplication) *****

2025-01-17 08:16:03.70 | User | APP_v5.M.3.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-17 08:16:03.77 | User | APP_v5.M.3.xlsb | Validation d'accès serveur terminée *** = '0,0059 secondes'

2025-01-17 08:16:03.82 | User | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-17 08:16:03.92 | User | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,1133 secondes'

2025-01-17 08:16:03.97 | User | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-17 08:16:04.04 | User | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0723 secondes'

2025-01-17 08:16:04.09 | User | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile
2025-01-17 08:16:04.54 | User | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile *** = '0,4570 secondes'

2025-01-17 08:16:04.59 | User | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-17 08:16:04.69 | User | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,1035 secondes'

2025-01-17 08:16:04.73 | User | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-17 08:16:04.79 | User | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0645 secondes'

2025-01-17 08:16:04.84 | User | APP_v5.M.3.xlsb | modAppli:CodeEssentielDepart *** = '1,1543 secondes'

2025-01-17 08:16:05.82 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:05.87 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0586 secondes'

2025-01-17 08:16:08.83 | User | APP_v5.M.3.xlsb | modMenu:menuFacturation_Click
2025-01-17 08:16:08.93 | User | APP_v5.M.3.xlsb | modMenu:menuFacturation_Click *** = '0,1094 secondes'

2025-01-17 08:16:12.71 | User | APP_v5.M.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-17 08:16:12.80 | User | APP_v5.M.3.xlsb | modMenu:Hide_All_Worksheets_Except_Menu *** = '0,0957 secondes'

2025-01-17 08:16:15.58 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:15.64 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0781 secondes'

2025-01-17 08:16:17.46 | User | APP_v5.M.3.xlsb | modMenu:Parametres
2025-01-17 08:16:17.51 | User | APP_v5.M.3.xlsb | modMenu:Parametres *** = '0,0605 secondes'

2025-01-17 08:16:20.61 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:20.66 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0586 secondes'

2025-01-17 08:16:21.56 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click
2025-01-17 08:16:21.61 | User | APP_v5.M.3.xlsb | modMenu:menuComptabilite_Click *** = '0,0527 secondes'

2025-01-17 08:16:22.44 | User | APP_v5.M.3.xlsb | modMenu:menuFacturation_Click
2025-01-17 08:16:22.51 | User | APP_v5.M.3.xlsb | modMenu:menuFacturation_Click *** = '0,0762 secondes'

2025-01-17 08:16:24.69 | User | APP_v5.M.3.xlsb | wshMenuFAC:PreparationFacture_Click
2025-01-17 08:16:24.75 | User | APP_v5.M.3.xlsb | wshFAC_Brouillon:Worksheet_Activate
2025-01-17 08:16:24.80 | User | APP_v5.M.3.xlsb | modImport:Client_List_Import_All
2025-01-17 08:16:25.49 | User | APP_v5.M.3.xlsb | modImport:ResizeTable
2025-01-17 08:16:25.56 | User | APP_v5.M.3.xlsb | modImport:ResizeTable *** = '0,0879 secondes'

2025-01-17 08:16:25.62 | User | APP_v5.M.3.xlsb | modImport:ApplyFormatting
2025-01-17 08:16:25.68 | User | APP_v5.M.3.xlsb | modImport:ApplyFormatting *** = '0,0645 secondes'

2025-01-17 08:16:25.78 | User | APP_v5.M.3.xlsb | modImport:Client_List_Import_All *** = '0,9883 secondes'

2025-01-17 08:16:25.83 | User | APP_v5.M.3.xlsb | modImport:TEC_Import_All
2025-01-17 08:16:26.48 | User | APP_v5.M.3.xlsb | modImport:TEC_Import_All *** = '0,6621 secondes'

2025-01-17 08:16:26.54 | User | APP_v5.M.3.xlsb | modImport:FAC_Entête_Import_All
2025-01-17 08:16:27.06 | User | APP_v5.M.3.xlsb | modImport:FAC_Entête_Import_All *** = '0,5195 secondes'

2025-01-17 08:16:27.11 | User | APP_v5.M.3.xlsb | modImport:FAC_Détails_Import_All
2025-01-17 08:16:27.54 | User | APP_v5.M.3.xlsb | modImport:FAC_Détails_Import_All *** = '0,4336 secondes'

2025-01-17 08:16:27.58 | User | APP_v5.M.3.xlsb | modImport:FAC_Comptes_Clients_Import_All
2025-01-17 08:16:27.00 | User | APP_v5.M.3.xlsb | modImport:FAC_Comptes_Clients_Import_All *** = '0,4258 secondes'

2025-01-17 08:16:28.05 | User | APP_v5.M.3.xlsb | modImport:FAC_Projets_Entête_Import_All
2025-01-17 08:16:28.87 | User | APP_v5.M.3.xlsb | modImport:FAC_Projets_Entête_Import_All *** = '0,8281 secondes'

2025-01-17 08:16:28.93 | User | APP_v5.M.3.xlsb | modImport:FAC_Projets_Détails_Import_All
2025-01-17 08:16:29.36 | User | APP_v5.M.3.xlsb | modImport:FAC_Projets_Détails_Import_All *** = '0,4395 secondes'

2025-01-17 08:16:29.47 | User | APP_v5.M.3.xlsb | modDev_Utils:SetTabOrder(wshFAC_Brouillon)
2025-01-17 08:16:29.54 | User | APP_v5.M.3.xlsb | modDev_Utils:SetTabOrder *** = '0,0840 secondes'

2025-01-17 08:16:29.80 | User | APP_v5.M.3.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice
2025-01-17 08:16:55.22 | User | APP_v5.M.3.xlsb | ***** Début d'une nouvelle session (modAppli:CodeEssentielDepart) *****
2025-01-17 08:16:55.29 | User | APP_v5.M.3.xlsb | Validation d'accès serveur terminée *** = '0,0078 secondes'

2025-01-17 08:16:55.34 | User | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File
2025-01-17 08:16:55.44 | User | APP_v5.M.3.xlsb | ThisWorkbook:Create_User_Active_File *** = '0,1055 secondes'

2025-01-17 08:16:55.49 | User | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat
2025-01-17 08:16:55.54 | User | APP_v5.M.3.xlsb | ThisWorkbook:Setup_UserDateFormat *** = '0,0645 secondes'

2025-01-17 08:16:55.59 | User | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile
2025-01-17 08:16:56.06 | User | APP_v5.M.3.xlsb | ThisWorkbook:BackupMasterFile *** = '0,4766 secondes'

2025-01-17 08:16:56.11 | User | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu
2025-01-17 08:16:56.20 | User | APP_v5.M.3.xlsb | modAppli:WriteInfoOnMainMenu *** = '0,0977 secondes'

2025-01-17 08:16:56.25 | User | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername
2025-01-17 08:16:56.29 | User | APP_v5.M.3.xlsb | modMenu:HideDevShapesBasedOnUsername *** = '0,0527 secondes'

2025-01-17 08:16:56.35 | User | APP_v5.M.3.xlsb | modAppli:CodeEssentielDepart *** = '1,1387 secondes'

