2025-01-14 08:50:25.60 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-01-14 08:50:25.73 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1309 secondes'

2025-01-14 08:50:25.76 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-01-14 08:50:25.93 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1758 secondes'

2025-01-14 08:50:25.95 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,3691 secondes'

2025-01-14 08:50:25.97 | GuillaumeCharron | APP_v5 (version 1).xlsb | modStatsHeures:Stats_Heures_AF
2025-01-14 08:50:26.18 | GuillaumeCharron | APP_v5 (version 1).xlsb | modStatsHeures:Stats_Heures_AF *** = '0,2109 secondes'

2025-01-14 08:50:26.20 | GuillaumeCharron | APP_v5 (version 1).xlsb | modAppli:UpdatePivotTables
2025-01-14 08:50:26.27 | GuillaumeCharron | APP_v5 (version 1).xlsb | modAppli:UpdatePivotTables *** = '0,0703 secondes'

2025-01-14 08:50:26.29 | GuillaumeCharron | APP_v5 (version 1).xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '0,7324 secondes'

2025-01-14 08:50:26.35 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2025-01-14 *** = '0,8262 secondes'

2025-01-14 08:50:26.37 | GuillaumeCharron | APP_v5 (version 1).xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '1,9824 secondes'

2025-01-14 08:50:26.39 | GuillaumeCharron | APP_v5 (version 1).xlsb | ufSaisieHeures:cmdAdd_Click *** = '2,0293 secondes'

2025-01-14 08:51:55.23 | GuillaumeCharron | APP_v5 (version 1).xlsb | ufSaisieHeures:UserForm_Terminate
2025-01-14 08:51:55.27 | GuillaumeCharron | APP_v5 (version 1).xlsb | ufSaisieHeures:UserForm_Terminate *** = '0,0430 secondes'

2025-01-14 08:51:56.27 | GuillaumeCharron | APP_v5 (version 1).xlsb | modMenu:Hide_All_Worksheets_Except_Menu
2025-01-14 08:51:56.30 | GuillaumeCharron | APP_v5 (version 1).xlsb | modMenu:Hide_All_Worksheets_Except_Menu *** = '0,0371 secondes'

2025-01-14 08:51:57.47 | GuillaumeCharron | APP_v5 (version 1).xlsb | modMenu:menuComptabilite_Click
