2024-12-17 18:53:56.64 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,0859 sec.

2024-12-17 18:53:56.70 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3123] = 0,1875 sec.

2024-12-17 18:53:57.15 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lsbHresJour_dblClick[6]
2024-12-17 18:53:57.18 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-17 18:53:57.23 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 3114
2024-12-17 18:53:57.26 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,0859 sec.

2024-12-17 18:53:57.31 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:lsbHresJour_dblClick[3124] = 0,1719 sec.

2024-12-17 18:53:58.58 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Atelier Mécanique Pierre Mondou Inc. [Anne Charlebois]]
2024-12-17 18:53:58.61 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - Atelier Mécanique Pierre Mondou Inc. [Anne Charlebois]
2024-12-17 18:53:58.65 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1673 = 0,0391 sec.

2024-12-17 18:53:58.68 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:txtClient_AfterUpdate = 0,1016 sec.

2024-12-17 18:53:58.72 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2024-12-17 18:53:58.75 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate = 0,0391 sec.

2024-12-17 18:53:59.72 | vgervais | APP_v5.G.5.xlsb | ufSaisieHeures:cmdUpdate_Click[3124]
2024-12-17 18:53:59.76 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Modifie_Ligne
2024-12-17 18:53:59.79 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - Atelier Mécanique Pierre Mondou Inc. [Anne Charlebois]
2024-12-17 18:53:59.83 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1673 = 0,0469 sec.

2024-12-17 18:53:59.87 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(3124)
2024-12-17 18:54:00.45 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 3124 = 0,5859 sec.

2024-12-17 18:54:00.48 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(3124)
2024-12-17 18:54:00.52 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID
2024-12-17 18:54:00.55 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 3114
2024-12-17 18:54:00.60 | vgervais | APP_v5.G.5.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID = 0,0859 sec.

2024-12-17 18:54:00.66 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 3124 = 0,1797 sec.

2024-12-17 18:54:00.70 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/17-12-2024
2024-12-17 18:54:00.77 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF = 0,0938 sec.

2024-12-17 18:54:00.82 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/17-12-2024
2024-12-17 18:54:00.86 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($S$7)
2024-12-17 18:54:00.90 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-17 18:54:00.93 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-17 18:54:01.20 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2734 sec.

2024-12-17 18:54:01.24 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-17 18:54:01.38 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1406 sec.

2024-12-17 18:54:01.41 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5234 sec.

2024-12-17 18:54:01.45 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-17 18:54:01.69 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2500 sec.

2024-12-17 18:54:01.73 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-17 18:54:01.78 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0625 sec.

2024-12-17 18:54:01.81 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9609 sec.

2024-12-17 18:54:01.85 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($T$7)
2024-12-17 18:54:01.88 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-17 18:54:01.92 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-17 18:54:02.19 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2734 sec.

2024-12-17 18:54:02.23 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-17 18:54:02.37 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1406 sec.

2024-12-17 18:54:02.40 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5156 sec.

2024-12-17 18:54:02.43 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-17 18:54:02.66 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2344 sec.

2024-12-17 18:54:02.70 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-17 18:54:02.75 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0625 sec.

2024-12-17 18:54:02.79 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9453 sec.

2024-12-17 18:54:02.82 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2024-12-17 18:54:02.87 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All
2024-12-17 18:54:02.89 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-17 18:54:03.16 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = 0,2734 sec.

2024-12-17 18:54:03.20 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-17 18:54:03.34 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1719 sec.

2024-12-17 18:54:03.40 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5391 sec.

2024-12-17 18:54:03.44 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-17 18:54:03.66 | vgervais | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2344 sec.

2024-12-17 18:54:03.70 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-17 18:54:03.76 | vgervais | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0625 sec.

2024-12-17 18:54:03.80 | vgervais | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,9766 sec.

2024-12-17 18:54:03.90 | vgervais | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/17-12-2024 = 3,0859 sec.

