2025-06-08 16:17:33.04 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterClients |  | 
2025-06-08 16:17:33.24 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterClients |  | 0,2031 secondes

2025-06-08 16:17:33.24 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacEntete |  | 
2025-06-08 16:17:33.24 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Entête |  | 
2025-06-08 16:17:33.46 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Entête |  | 0,2188 secondes

2025-06-08 16:17:33.47 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacEntete |  | 0,2305 secondes

2025-06-08 16:17:33.47 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacComptesClients |  | 
2025-06-08 16:17:33.48 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Comptes_Clients |  | 
2025-06-08 16:17:33.62 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:FAC_Comptes_Clients |  | 0,1406 secondes

2025-06-08 16:17:33.63 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacComptesClients |  | 0,1602 secondes

2025-06-08 16:17:33.63 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncDetails |  | 
2025-06-08 16:17:33.64 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Détails |  | 
2025-06-08 16:17:33.76 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Détails |  | 0,1211 secondes

2025-06-08 16:17:33.77 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncDetails |  | 0,1445 secondes

2025-06-08 16:17:33.78 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncEntete |  | 
2025-06-08 16:17:33.78 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Entête |  | 
2025-06-08 16:17:33.90 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:ENC_Entête |  | 0,1211 secondes

2025-06-08 16:17:33.91 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEncEntete |  | 0,1328 secondes

2025-06-08 16:17:33.91 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterCCRegularisations |  | 
2025-06-08 16:17:33.91 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:CC_Régularisations |  | 
2025-06-08 16:17:33.98 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:CC_Régularisations |  | 0,0703 secondes

2025-06-08 16:17:33.99 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterCCRegularisations |  | 0,0781 secondes

2025-06-08 16:17:34.07 | Robert M. Vigneault | APP_v6.C.94.xlsb | modDev_Utils:SetTabOrder | wshCAR_Liste_Agée | 
2025-06-08 16:17:34.10 | Robert M. Vigneault | APP_v6.C.94.xlsb | modDev_Utils:SetTabOrder |  | 0,0312 secondes

2025-06-08 16:17:34.11 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_Activate |  | 1,0703 secondes

2025-06-08 16:17:35.39 | Robert M. Vigneault | APP_v6.C.94.xlsb | modCAR_Liste_Agée:CreerListeAgee |  | 
2025-06-08 16:17:41.62 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:AppliquerConditionalFormating |  | 
2025-06-08 16:17:41.63 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:AppliquerConditionalFormating |  | 0,0117 secondes

2025-06-08 16:17:43.73 | Robert M. Vigneault | APP_v6.C.94.xlsb | modCAR_Liste_Agée:CreerListeAgee |  | 8,3398 secondes

2025-06-08 16:17:44.07 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange | $B$5 | 
2025-06-08 16:17:44.09 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange |  | 0,0117 secondes

2025-06-08 16:17:44.56 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange | $B$6 | 
2025-06-08 16:17:44.57 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange |  | 0,0078 secondes

2025-06-08 16:17:44.79 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange | $B$7 | 
2025-06-08 16:17:44.80 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_SelectionChange |  | 0,0117 secondes

