2024-12-02 22:40:24.31 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2024-12-02 |  | 31
2024-12-02 22:40:24.41 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,1172 sec. | 31

2024-12-02 22:40:24.47 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-12-02 22:40:24.51 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-12-02 22:40:24.54 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-12-02 22:40:24.79 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,2578 sec. | 31

2024-12-02 22:40:24.84 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-12-02 22:40:24.99 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,1562 sec. | 31

2024-12-02 22:40:25.02 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,5156 sec. | 31

2024-12-02 22:40:25.05 | vgervais | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-12-02 22:40:25.23 | vgervais | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1875 sec. | 31

