2024-11-02 13:55:49.22 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF - '24-24606' |  | 31
2024-11-02 13:55:49.46 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF(24-24606) |  | 31
2024-11-02 13:55:49.68 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func(24-24606, SaveOnly) |  | 31
2024-11-02 13:55:54.48 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF_Func | 4,8125 sec. | 31

2024-11-02 13:55:54.69 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Create_PDF | 5,2461 sec. | 31

2024-11-02 13:55:54.90 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel(1556, Remorque Terrebonne 2021 Inc. [Pierre Beauregard], 24-24606, 2024-11-02) |  | 31
2024-11-02 13:56:12.44 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Copie_Vers_Excel | 17,5469 sec. | 31

2024-11-02 13:56:12.66 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel(24-24606, 1556) |  | 31
2024-11-02 13:56:13.56 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Creation_Courriel | 0,9180 sec. | 31

2024-11-02 13:56:13.77 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Bouton_Creation_PDF | 24,5703 sec. | 31

2024-11-02 13:56:24.71 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Goto_Onglet_FAC_Brouillon |  | 31
2024-11-02 13:56:24.97 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Activate |  | 31
2024-11-02 13:56:25.20 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Goto_Onglet_FAC_Brouillon | 0,5117 sec. | 31

2024-11-02 13:56:32.15 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-02 13:56:32.39 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,2500 sec. | 31

2024-11-02 13:56:37.93 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale |  | 31
